invoice_no,total_keys,matched_keys,accuracy
0,8,6,75.0
1,8,5,62.5
2,7,6,85.71428571428571
3,7,7,100.0
4,14,7,50.0
5,6,6,100.0
6,12,9,75.0
7,6,3,50.0
8,7,7,100.0
9,6,5,83.33333333333334
10,8,7,87.5
11,6,6,100.0
12,9,5,55.55555555555556
13,13,7,53.84615384615385
14,23,19,82.6086956521739
15,9,9,100.0
16,11,9,81.81818181818183
17,22,13,59.09090909090909
18,7,6,85.71428571428571
19,9,0,0.0
20,18,10,55.55555555555556
21,11,7,63.63636363636363
22,9,8,88.88888888888889
23,9,9,100.0
24,14,10,71.42857142857143
25,12,12,100.0
26,15,10,66.66666666666666
27,8,7,87.5
28,13,12,92.3076923076923
29,22,16,72.72727272727273
30,7,6,85.71428571428571
31,9,5,55.55555555555556
32,8,8,100.0
33,12,8,66.66666666666666
34,11,9,81.81818181818183
35,15,12,80.0
36,7,6,85.71428571428571
37,5,5,100.0
38,30,25,83.33333333333334
39,13,4,30.76923076923077
40,11,2,18.181818181818183
41,22,18,81.81818181818183
42,8,8,100.0
43,8,4,50.0
44,6,6,100.0
45,15,12,80.0
46,11,9,81.81818181818183
47,15,8,53.333333333333336
48,9,6,66.66666666666666
49,10,10,100.0
50,8,7,87.5
51,16,5,31.25
52,12,12,100.0
53,12,11,91.66666666666666
54,5,5,100.0
55,8,8,100.0
56,7,6,85.71428571428571
57,5,3,60.0
58,8,6,75.0
59,30,25,83.33333333333334
60,11,7,63.63636363636363
61,27,19,70.37037037037037
62,9,4,44.44444444444444
63,10,9,90.0
64,5,5,100.0
65,7,5,71.42857142857143
66,9,7,77.77777777777779
67,6,5,83.33333333333334
68,5,5,100.0
69,12,12,100.0
70,35,21,60.0
71,7,5,71.42857142857143
72,8,7,87.5
73,11,10,90.9090909090909
74,15,11,73.33333333333333
75,21,19,90.47619047619048
76,11,4,36.36363636363637
77,8,7,87.5
78,6,6,100.0
79,10,9,90.0
80,7,7,100.0
81,13,12,92.3076923076923
82,16,16,100.0
83,8,8,100.0
84,11,11,100.0
85,37,37,100.0
86,10,8,80.0
87,7,5,71.42857142857143
88,12,10,83.33333333333334
89,7,6,85.71428571428571
90,7,7,100.0
91,9,9,100.0
92,7,3,42.857142857142854
93,7,7,100.0
94,16,10,62.5
95,12,9,75.0
96,7,7,100.0
97,12,10,83.33333333333334
98,12,11,91.66666666666666
99,10,6,60.0
