key,precision,recall,f1_score,tp,fp,fn,total_gt,accuracy
menu.nm,0.6693877551020408,0.6533864541832669,0.6612903225806452,164,81,87,251,0.6533864541832669
menu.cnt,0.7510204081632653,0.8363636363636363,0.7913978494623656,184,61,36,220,0.8363636363636363
menu.unitprice,0.64,0.7164179104477612,0.676056338028169,48,27,19,67,0.7164179104477612
menu.price,0.8530612244897959,0.8495934959349594,0.8513238289205702,209,36,37,246,0.8495934959349594
sub_total.subtotal_price,0.828125,0.8153846153846154,0.8217054263565892,53,11,12,65,0.8153846153846154
sub_total.discount_price,0.0,0.0,0.0,0,1,6,6,0.0
sub_total.tax_price,0.5952380952380952,0.5813953488372093,0.5882352941176471,25,17,18,43,0.5813953488372093
total.total_price,0.81,0.8526315789473684,0.8307692307692308,81,19,14,95,0.8526315789473684
total.cashprice,0.90625,0.8656716417910447,0.8854961832061069,58,6,9,67,0.8656716417910447
total.changeprice,0.8571428571428571,0.8571428571428571,0.8571428571428571,48,8,8,56,0.8571428571428571
total.creditcardprice,0.9285714285714286,0.8125,0.8666666666666666,13,1,3,16,0.8125
