invoice_no,total_keys,matched_keys,accuracy
0,8,6,75.0
1,8,6,75.0
2,7,6,85.71428571428571
3,7,7,100.0
4,14,6,42.857142857142854
5,6,6,100.0
6,12,9,75.0
7,6,4,66.66666666666666
8,7,7,100.0
9,6,5,83.33333333333334
10,8,7,87.5
11,6,6,100.0
12,9,3,33.33333333333333
13,13,6,46.15384615384615
14,23,17,73.91304347826086
15,9,8,88.88888888888889
16,11,10,90.9090909090909
17,22,12,54.54545454545454
18,7,6,85.71428571428571
19,9,1,11.11111111111111
20,18,15,83.33333333333334
21,11,8,72.72727272727273
22,9,9,100.0
23,9,9,100.0
24,14,12,85.71428571428571
25,12,12,100.0
26,15,10,66.66666666666666
27,8,7,87.5
28,13,11,84.61538461538461
29,22,21,95.45454545454545
30,7,7,100.0
31,9,5,55.55555555555556
32,8,8,100.0
33,12,8,66.66666666666666
34,11,9,81.81818181818183
35,15,13,86.66666666666667
36,7,6,85.71428571428571
37,5,5,100.0
38,30,22,73.33333333333333
39,13,5,38.46153846153847
40,11,2,18.181818181818183
41,22,13,59.09090909090909
42,8,8,100.0
43,8,2,25.0
44,6,6,100.0
45,15,15,100.0
46,11,11,100.0
47,15,14,93.33333333333333
48,9,6,66.66666666666666
49,10,10,100.0
50,8,7,87.5
51,16,10,62.5
52,12,12,100.0
53,12,8,66.66666666666666
54,5,5,100.0
55,8,7,87.5
56,7,7,100.0
57,5,3,60.0
58,8,7,87.5
59,30,20,66.66666666666666
60,11,9,81.81818181818183
61,27,19,70.37037037037037
62,9,9,100.0
63,10,8,80.0
64,5,5,100.0
65,7,5,71.42857142857143
66,9,6,66.66666666666666
67,6,5,83.33333333333334
68,5,5,100.0
69,12,12,100.0
70,35,21,60.0
71,7,5,71.42857142857143
72,8,4,50.0
73,11,11,100.0
74,15,14,93.33333333333333
75,21,18,85.71428571428571
76,11,3,27.27272727272727
77,8,7,87.5
78,6,6,100.0
79,10,9,90.0
80,7,7,100.0
81,13,10,76.92307692307693
82,16,15,93.75
83,8,8,100.0
84,11,11,100.0
85,37,36,97.2972972972973
86,10,9,90.0
87,7,4,57.14285714285714
88,12,12,100.0
89,7,7,100.0
90,7,7,100.0
91,9,4,44.44444444444444
92,7,2,28.57142857142857
93,7,7,100.0
94,16,8,50.0
95,12,9,75.0
96,7,6,85.71428571428571
97,12,10,83.33333333333334
98,12,11,91.66666666666666
99,10,6,60.0
