parse_ok: 100
parse_fail: 0
Ground Truth: -ticketcp , Prediction: e0000
Ground Truth: 2 , Prediction: 2
Ground Truth: 60000 , Prediction: 60000
Ground Truth: 60000 , Prediction: 60000
Ground Truth: -60000 , Prediction: 
Ground Truth: 5455 , Prediction: 5455
Ground Truth: 60000 , Prediction: 60000
Ground Truth: 60000 , Prediction: 60000
Ground Truth: jstbpromo , Prediction: ybbat
Ground Truth: ybbat , Prediction: ybasoprom
Ground Truth: ybasoprom , Prediction: 
Ground Truth:  , Prediction: 1
Ground Truth:  , Prediction: 1
Ground Truth: 17500 , Prediction: 17500
Ground Truth: 46000 , Prediction: 27500
Ground Truth: 27500 , Prediction: 
Ground Truth: 91000 , Prediction: 46000
Ground Truth: 91000 , Prediction: 91000
Ground Truth: jasminemtl , Prediction: conutjelly
Ground Truth: 1 , Prediction: 1
Ground Truth:  , Prediction: 24000
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 28000 , Prediction: 28000
Ground Truth: 28000 , Prediction: 28000
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 72000 , Prediction: 72000
Ground Truth: donatgula , Prediction: donatgula
Ground Truth: 1x , Prediction: 1x
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: 11000 , Prediction: 11000
Ground Truth: iceblackcoffe , Prediction: iceblackcoffee
Ground Truth: avocadocoffee , Prediction: avocadocoffee
Ground Truth: chikenkatsuff , Prediction: chickenkatsun
Ground Truth: 2 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 82000 , Prediction: 32000
Ground Truth: 61000 , Prediction: 61000
Ground Truth: 51000 , Prediction: 51000
Ground Truth: 194000 , Prediction: 
Ground Truth: 19400 , Prediction: 
Ground Truth: 174600 , Prediction: 194000
Ground Truth: 200000 , Prediction: 200000
Ground Truth: 25400 , Prediction: 25400
Ground Truth: tradkytoastcarte , Prediction: tradkytoastcarte
Ground Truth:  , Prediction: 1
Ground Truth: 28182 , Prediction: 28182
Ground Truth: 28182 , Prediction: 28182
Ground Truth: 2818 , Prediction: 2818
Ground Truth: 31000 , Prediction: 31000
Ground Truth: 31000 , Prediction: 31000
Ground Truth: eggtart , Prediction: ggtart
Ground Truth: chococusardpastry , Prediction: chococusardpastry
Ground Truth: redbeanbread , Prediction: redbeanbiead
Ground Truth: 1 , Prediction: 1
Ground Truth: 2 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 13000 , Prediction: 13000
Ground Truth: 24000 , Prediction: 24000
Ground Truth: 9000 , Prediction: 9000
Ground Truth: 46000 , Prediction: 46000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 4000 , Prediction: 4000
Ground Truth: kupon15 , Prediction: kupon15
Ground Truth:  , Prediction: 1
Ground Truth: 100000 , Prediction: 100000
Ground Truth: 100909 , Prediction: 100000
Ground Truth: 10091 , Prediction: 10000
Ground Truth: 111000 , Prediction: 100000
Ground Truth: 111000 , Prediction: 111000
Ground Truth:  , Prediction: 11000
Ground Truth: regblacksakura , Prediction: regblacksakura
Ground Truth: 1 , Prediction: 1
Ground Truth: 45455 , Prediction: 45455
Ground Truth: 45455 , Prediction: 45455
Ground Truth: 4545 , Prediction: 4545
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: bumbukalduayam1 , Prediction: bumbukalduayam
Ground Truth:  , Prediction: 1
Ground Truth: 36000 , Prediction: 36000
Ground Truth: 36000 , Prediction: 36000
Ground Truth: 36000 , Prediction: 36000
Ground Truth:  , Prediction: 36000
Ground Truth: 50000 , Prediction: 50000
Ground Truth: 14000 , Prediction: 14000
Ground Truth: cinnamonsugar , Prediction: cinnamonsugar
Ground Truth: 1x , Prediction: x1
Ground Truth: 17000 , Prediction: 17000
Ground Truth: 17000 , Prediction: 17000
Ground Truth: 17000 , Prediction: 17000
Ground Truth: 17000 , Prediction: 17000
Ground Truth: 20000 , Prediction: 20000
Ground Truth: 3000 , Prediction: 3000
Ground Truth: banaberryfreshcreamcak , Prediction: banaberryfreshcreamcak
Ground Truth: 1 , Prediction: 1
Ground Truth: 230000 , Prediction: 230000
Ground Truth: 230000 , Prediction: 230000
Ground Truth: 230000 , Prediction: 230000
Ground Truth: 0 , Prediction: 0
Ground Truth: bluswanita , Prediction: 29
Ground Truth: shoppingbag , Prediction: 0571-1854bluswanita
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 120000 , Prediction: 
Ground Truth: 880 , Prediction: 
Ground Truth:  , Prediction: 120000
Ground Truth:  , Prediction: 120000
Ground Truth: 120000 , Prediction: 120000
Ground Truth: 0 , Prediction: 0
Ground Truth: 120000 , Prediction: 120000
Ground Truth: basokuah , Prediction: hasdklah
Ground Truth: amineralgelas , Prediction: amneralcelas
Ground Truth: 1 , Prediction: 1
Ground Truth: 1 , Prediction: 1
Ground Truth: 43636 , Prediction: 464
Ground Truth: 3000 , Prediction: 3000
Ground Truth: 43636 , Prediction: 464
Ground Truth: 3000 , Prediction: 3000
Ground Truth: 4663646636 , Prediction: 4666
Ground Truth: 4664 , Prediction: 460
Ground Truth: 51300 , Prediction: 51300
Ground Truth: 52000 , Prediction: 52000
Ground Truth: 700 , Prediction: 700
